node_id,label
Pecteilis_rumphii,Species
artemisiastrum_palmeri,Species
lathyrus_tournefortii,Species
Psittacanthus_kempfii,Species
boretta_cantabrica,Species
triglochin_maritima,Species
rubus_suishanensis,Species
nymphanthus,Genus
goodenia_xanthosperma,Species
cerastium_gibraltaricum,Species
lespedeza_simulata,Species
rulingia_parviflora,Species
nyctocereus,Genus
glycine_canescens,Species
euphorbia_hypericifolia,Species
polygonum_aviculare,Species
hibiscus_sidiformis,Species
schoenocrambe,Genus
eupatorium_houstonianum,Species
amaranthus_powellii,Species
castanea,Genus
tragia_durbanensis,Species
pultenaea_deltoidea,Species
physaria_calcicola,Species
nepeta_griffithii,Species
chrysopogon_villosulus,Species
oenothera_podocarpa,Species
dacryophyllum_falcifolium,Species
potentilla_tikhomirovii,Species
thuja_papuana,Species
callianthemum,Genus
fagonia_pachyacantha,Species
commersonia_echinata,Species
sedum_oppositifolium,Species
selaginella_apoda,Species
stenocereus,Genus
agrimonia_agrimony,Species
stellaria_palustris,Species
muehlenbeckia_platyclada,Species
narcissus_algirus,Species
jacquemontia_ovalifolia,Species
grindelia_arizonica,Species
cathaya,Genus
tidestromia_carnosa,Species
polygonum_polygonacées,Species
mirabilis_expansa,Species
premna_herbacea,Species
commicarpus_plumbagineus,Species
kitamuria_glehnii,Species
phacelia_ivesiana,Species
pultenaea_trichophylla,Species
onobrychis,Genus
paris_chinensis,Species
prenanthes_autumnalis,Species
atamosco,Genus
ceropegia_anceps,Species
stillingia_treculiana,Species
hydrangea_petiolaris,Species
polystachya_mayombensis,Species
hypnum_revolutum,Species
pediomelum_castoreum,Species
amaranthus_cruentus,Species
evergreen_shrubs,Species
carex_cephalotes,Species
mattiastrum,Genus
chamaesaracha,Genus
crusea_setosa,Species
camissonia_sierrae,Species
trollius_asiaticus,Species
archidium_tenerrimum,Species
chamaedorea_digitata,Species
palme_palms,Species
lipocarpha_microcephala,Species
cyrtomnium_hymenophyllum,Species
cirrhopetalum_medusae,Species
pseudocalliergon_angustifolium,Species
tripterocalyx,Genus
jepsonia_parryi,Species
machaerina_lamii,Species
Epacris,Genus
Wittrockia_cyathiformis,Species
chrysopsis_mariana,Species
helenium_incisum,Species
hesperevax_acaulis,Species
coburgia_blanda,Species
datura_parviflora,Species
heterotheca,Genus
linum_bienne,Species
ceanothus_ferrisiae,Species
thelypteris_thelypterioides,Species
aloe_tongaensis,Species
cornulaca,Genus
helianthus_aridus,Species
bulbophyllum_obtusiangulum,Species
limonium_grosii,Species
gnaphalium_sprengelii,Species
bulbophyllum_newportii,Species
alternanthera_forssk,Species
cyperus_lucidus,Species
calonyction_aculeatum,Species
lupinus_nipomensis,Species
salix_cascadensis,Species
polygonella_parksii,Species
silene_invisa,Species
geboscon_striatum,Species
rhamphospermum_orientale,Species
tillandsia_flexuosa,Species
hormidium_lindl,Species
rosa_rubiginosa,Species
ericala_argentea,Species
asplenium_serratum,Species
hormathophylla_baetica,Species
neopicrorhiza_scrophulariiflora,Species
agalinis_purpurea,Species
maurandya_petrophila,Species
hippocrepis_prostrata,Species
navarretia_ojaiensis,Species
hookeria_albicans,Species
pouzolzia_guineensis,Species
swainsona_sericea,Species
Silene_chalcedonica,Species
euonymus_atropurpureus,Species
rubus_complex,Species
barbella_pendula,Species
daiswa_birmanica,Species
brachytheciastrum,Genus
rotang_manan,Species
achillea_atrata,Species
silene_occidentalis,Species
viola_matsumure,Species
ayenia,Genus
ophrys_apifera,Species
eriogonum_parishii,Species
faba_sativa,Species
myagrum,Genus
Stevia_alternifolia,Species
zigadenus_sibiricus,Species
Chromolaena_congesta,Species
asterophyllum,Genus
odontonychia,Genus
linum_usitatissimum,Species
rumex_fascicularis,Species
Erymophyllum_tenellum,Species
pittosporum_sessilifolium,Species
laccosperma_secundiflorum,Species
acacia_daviesioides,Species
leonurus_tuberiferus,Species
eupatorium_antiquorum,Species
calamagrostis_lanceo-,Species
lysimachia_producta,Species
jurinella_subacaulis,Species
echeveria_cymosa,Species
Asplenium_subglandulosum,Species
trichomanes_borbonicum,Species
rorippa,Genus
boerhavia_elegans,Species
iresine_diffusa,Species
solanum_eleagnifolium,Species
tribrachia_odoratissima,Species
echinocereus_metornii,Species
succisella_carvalhoana,Species
gilia_laxiflora,Species
dioctis,Genus
linum_jimenezii,Species
ribes_cynosbati,Species
trillium_cuneatum,Species
micropleura_renifolia,Species
lagenaria,Genus
campanula_wilkinsiana,Species
chironia_centaurium,Species
castilleja_kraliana,Species
saxifraga_saxirracr,Species
senecio_keniensis,Species
ophioglossum,Genus
Apowollastonia_hamersleyensis,Species
calystegia_longipes,Species
ranunculus_eschscholtzii,Species
lolium_bromoides,Species
cassiope_hypnoides,Species
bryonia_epigaea,Species
Styphelia_globosa,Species
triticum_persicum,Species
olearia_adenolasia,Species
anagallis_pumila,Species
getonia,Genus
cotoneaster_tengyuehensis,Species
Acacia_graciliformis,Species
arenaria_pomelii,Species
tillandsia_recurvata,Species
macgregoria_racemigera,Species
rhododendron_caucasicum,Species
cacaliopsis_nardosmia,Species
cnicus_weyrichii,Species
pterostylis_striata,Species
lotus_ambiguus,Species
isolepis_maxima,Species
vignea_reichb,Species
haumania_leonardiana,Species
sciuro-hypnum_uncinifolium,Species
hemionitis_austrotenuifolia,Species
jacea_plumosa,Species
tetraena,Genus
suaeda_acuminata,Species
oryza_elongata,Species
downingia_pulchella,Species
paphiopedilum,Genus
pinguicula_utriculariées,Species
cryptotheca,Genus
lycopodium_torridum,Species
Acacia_applanata,Species
rumex_sanguineus,Species
pseudocentrum_guadalupense,Species
leucomium_strumosum,Species
vimen,Genus
neotinea_ustulata,Species
polyphlebium,Genus
suaeda_moschata,Species
nepenthes_murudensis,Species
monstera,Genus
dorstenia_barteri,Species
Arnocrinum_preissii,Species
papaver,Genus
thunbergia_aurantiaca,Species
